epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,399.203,3.04723,2.61391,1.4853,0.0207,0.59557,0.12561,0.03057,2.71433,2.94055,1.40362,0.000657658,0.000657658,0.000657658
2,779.028,2.81176,2.09438,1.40909,0.25032,0.30382,0.17004,0.04573,2.84177,2.16371,1.49966,0.0012981,0.0012981,0.0012981
3,1153.76,2.80947,2.01457,1.39123,0.15507,0.24212,0.10062,0.02184,3.00602,2.48235,1.48675,0.00191215,0.00191215,0.00191215
4,1528.75,2.77116,1.96443,1.38448,0.26513,0.29443,0.17896,0.04761,2.69298,2.05072,1.40797,0.0018812,0.0018812,0.0018812
5,1899.58,2.75663,1.92727,1.38962,0.25313,0.33199,0.18749,0.04842,2.66748,2.08787,1.39589,0.0018416,0.0018416,0.0018416
6,2277.84,2.73604,1.9259,1.37885,0.32777,0.32864,0.23592,0.0629,2.64494,2.01386,1.37242,0.001802,0.001802,0.001802
7,2691.52,2.74738,1.90464,1.36466,0.2492,0.34809,0.18855,0.04796,2.67522,2.00188,1.35531,0.0017624,0.0017624,0.0017624
8,3109.26,2.74586,1.89702,1.37733,0.24162,0.34658,0.17903,0.04568,2.66939,1.93294,1.35569,0.0017228,0.0017228,0.0017228
9,3523.77,2.72549,1.89043,1.35992,0.32771,0.34004,0.25946,0.07004,2.58823,1.88149,1.36017,0.0016832,0.0016832,0.0016832
10,3938.58,2.73598,1.85231,1.34959,0.249,0.35547,0.1905,0.04925,2.62083,1.95632,1.34813,0.0016436,0.0016436,0.0016436
11,4354.3,2.72331,1.86132,1.3471,0.2246,0.2173,0.13504,0.03864,2.73098,2.68703,1.43756,0.001604,0.001604,0.001604
12,4772.27,2.71255,1.86828,1.34424,0.25935,0.34608,0.19951,0.05064,2.66098,1.92067,1.35563,0.0015644,0.0015644,0.0015644
13,5187.92,2.69819,1.87193,1.35523,0.2906,0.37156,0.24349,0.06638,2.58551,2.04182,1.36149,0.0015248,0.0015248,0.0015248
14,5604.19,2.69748,1.82026,1.33399,0.29565,0.37089,0.23912,0.06289,2.61153,1.89514,1.33085,0.0014852,0.0014852,0.0014852
15,6017.11,2.70484,1.84957,1.34315,0.30421,0.37022,0.25349,0.06733,2.59521,1.95483,1.3594,0.0014456,0.0014456,0.0014456
16,6431.59,2.70179,1.84219,1.34923,0.30146,0.37089,0.24161,0.06724,2.54873,1.88305,1.32422,0.001406,0.001406,0.001406
17,6843.48,2.70603,1.82156,1.34215,0.32794,0.37827,0.26987,0.07555,2.56314,1.82797,1.32312,0.0013664,0.0013664,0.0013664
18,7256.41,2.69236,1.84446,1.32292,0.37543,0.37492,0.29345,0.07862,2.55078,1.81356,1.33196,0.0013268,0.0013268,0.0013268
19,7670.59,2.67994,1.80591,1.33673,0.26475,0.37425,0.21065,0.05382,2.65808,1.91391,1.36536,0.0012872,0.0012872,0.0012872
20,8080.42,2.66476,1.80537,1.33715,0.35275,0.34474,0.26991,0.07175,2.61134,1.89701,1.35639,0.0012476,0.0012476,0.0012476
21,8500.41,2.66357,1.80169,1.32961,0.36333,0.334,0.26824,0.07353,2.56363,1.86254,1.33281,0.001208,0.001208,0.001208
22,8914.54,2.6775,1.82287,1.33383,0.36973,0.36553,0.2927,0.07598,2.58559,1.81529,1.35308,0.0011684,0.0011684,0.0011684
23,9328.19,2.65013,1.79519,1.32506,0.34127,0.41247,0.28834,0.07517,2.54446,1.88957,1.32188,0.0011288,0.0011288,0.0011288
24,9737.99,2.67456,1.80076,1.32395,0.39951,0.33937,0.30364,0.08327,2.54649,1.83766,1.32412,0.0010892,0.0010892,0.0010892
25,10148.3,2.66305,1.76471,1.30876,0.31858,0.35614,0.25259,0.07043,2.54456,1.86608,1.33682,0.0010496,0.0010496,0.0010496
26,10562.6,2.64728,1.77217,1.32459,0.3615,0.41583,0.30854,0.08363,2.57043,1.81994,1.32418,0.00101,0.00101,0.00101
27,10970.8,2.64566,1.77631,1.32096,0.32481,0.35136,0.26264,0.0712,2.5929,1.81209,1.35577,0.0009704,0.0009704,0.0009704
28,11379.9,2.64765,1.76997,1.32354,0.38467,0.39906,0.30938,0.08315,2.5485,1.8198,1.30629,0.0009308,0.0009308,0.0009308
29,11787.1,2.64146,1.77837,1.3334,0.36908,0.38028,0.30108,0.08179,2.553,1.75893,1.32454,0.0008912,0.0008912,0.0008912
30,12195.8,2.64063,1.76496,1.31751,0.45815,0.36821,0.33074,0.08799,2.55342,1.7794,1.3367,0.0008516,0.0008516,0.0008516
31,12606.6,2.63497,1.74912,1.30198,0.3964,0.35144,0.30951,0.08534,2.53742,1.83422,1.3251,0.000812,0.000812,0.000812
32,13019.8,2.63612,1.74375,1.31464,0.42154,0.39235,0.34567,0.09226,2.55012,1.76332,1.32947,0.0007724,0.0007724,0.0007724
33,13430.3,2.61652,1.74363,1.31032,0.41694,0.40912,0.33782,0.08902,2.55781,1.77786,1.31498,0.0007328,0.0007328,0.0007328
34,13842.7,2.62195,1.7365,1.30838,0.43201,0.37156,0.33806,0.08853,2.54074,1.77751,1.31398,0.0006932,0.0006932,0.0006932
35,14254.3,2.62396,1.74668,1.30671,0.36298,0.38766,0.29386,0.07684,2.56843,1.81609,1.32389,0.0006536,0.0006536,0.0006536
36,14665.7,2.59648,1.74724,1.30083,0.45423,0.31455,0.30027,0.0844,2.54083,1.91184,1.31894,0.000614,0.000614,0.000614
37,15077,2.61202,1.72779,1.30332,0.38148,0.38719,0.30072,0.07902,2.57887,1.79058,1.31474,0.0005744,0.0005744,0.0005744
38,15488.3,2.60623,1.73337,1.3088,0.44801,0.37723,0.33883,0.09032,2.53771,1.77216,1.30359,0.0005348,0.0005348,0.0005348
39,15902.5,2.62683,1.72304,1.29743,0.42822,0.4004,0.34602,0.09456,2.5293,1.73994,1.31623,0.0004952,0.0004952,0.0004952
40,16311.3,2.6076,1.72299,1.30165,0.42462,0.41032,0.34195,0.08958,2.5517,1.75974,1.31484,0.0004556,0.0004556,0.0004556
41,16718.6,2.56763,1.7993,1.35604,0.43801,0.38632,0.34408,0.09466,2.54541,1.74548,1.32235,0.000416,0.000416,0.000416
42,17119.7,2.55861,1.74883,1.32923,0.4331,0.41607,0.35521,0.0959,2.53047,1.75108,1.3067,0.0003764,0.0003764,0.0003764
43,17521.9,2.55304,1.74097,1.34998,0.46973,0.40376,0.36007,0.09577,2.54415,1.74729,1.31205,0.0003368,0.0003368,0.0003368
44,17924,2.54585,1.73843,1.35656,0.46527,0.42542,0.37105,0.09975,2.53024,1.73071,1.30669,0.0002972,0.0002972,0.0002972
45,18324.9,2.53904,1.72408,1.34133,0.48261,0.4051,0.36701,0.10026,2.53347,1.7251,1.30874,0.0002576,0.0002576,0.0002576
46,18723.9,2.54121,1.72171,1.35577,0.49628,0.4118,0.37921,0.09713,2.5435,1.73068,1.31216,0.000218,0.000218,0.000218
47,19125.6,2.54613,1.71867,1.33624,0.4628,0.4051,0.35506,0.09213,2.54238,1.74032,1.31283,0.0001784,0.0001784,0.0001784
48,19529.2,2.53113,1.71451,1.34768,0.48921,0.4051,0.37246,0.09955,2.53659,1.72669,1.30533,0.0001388,0.0001388,0.0001388
